,Census Block FIPS Code,Max Advertised Downstream Speed (mbps)
1300,26139,1000.0
1301,26141,1000.0
1302,26143,1000.0
1303,26145,1000.0
1304,26147,1000.0
1305,26149,1000.0
1306,26151,1000.0
1307,26153,940.0
1308,26155,1000.0
1309,26157,1000.0
1310,26159,1000.0
1311,26161,2000.0
1312,26163,1000.0
1313,26165,1000.0
1314,27001,1000.0
1315,27003,1000.0
1316,27005,1000.0
1317,27007,1000.0
1318,27009,1000.0
1319,27011,1000.0
1320,27013,1000.0
1321,27015,1000.0
1322,27017,1000.0
1323,27019,1000.0
1324,27021,1000.0
1325,27023,1000.0
1326,27025,1000.0
1327,27027,1000.0
1328,27029,1000.0
1329,27031,1000.0
1330,27033,1000.0
1331,27035,1000.0
1332,27037,1000.0
1333,27039,1000.0
1334,27041,1000.0
1335,27043,1000.0
1336,27045,1000.0
1337,27047,1000.0
1338,27049,1000.0
1339,27051,1000.0
1340,27053,10000.0
1341,27055,1000.0
1342,27057,1000.0
1343,27059,1000.0
1344,27061,1000.0
1345,27063,1000.0
1346,27065,1000.0
1347,27067,1000.0
1348,27069,1000.0
1349,27071,1000.0
1350,27073,1000.0
1351,27075,1000.0
1352,27077,1000.0
1353,27079,1000.0
1354,27081,1000.0
1355,27083,1000.0
1356,27085,1000.0
1357,27087,1000.0
1358,27089,1000.0
1359,27091,1000.0
1360,27093,1000.0
